customer_id,age,gender,city,tenure_months,contract_type,phone_service,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,payment_method,paperless_billing,num_support_tickets,avg_resolution_time,satisfaction_score,churn
79,43,Male,Makassar,6,Month-to-month,1,Fiber optic,0,1,0,61.33,487.58,Mailed check,1,0,1.5,2.3,0
80,18,Female,Jakarta,68,Month-to-month,1,DSL,1,0,0,23.76,1535.41,Bank transfer,1,1,6.2,3.6,0
81,39,Male,Surabaya,10,Month-to-month,1,Fiber optic,0,0,0,36.45,513.1,Credit card,1,2,21.2,3.2,1
82,46,Male,Jakarta,26,Month-to-month,1,No,0,0,1,65.39,1811.92,Electronic check,1,1,6.6,5.0,1
83,61,Male,Semarang,10,Two year,1,DSL,0,1,0,133.45,1108.63,Credit card,0,3,0.8,3.8,1
84,35,Male,Makassar,39,One year,1,DSL,0,0,0,71.0,2968.32,Bank transfer,0,1,2.0,5.3,0
85,31,Male,Makassar,54,Two year,1,DSL,0,0,0,36.34,1820.3,Bank transfer,1,1,0.5,2.3,0
86,35,Male,Semarang,37,One year,1,Fiber optic,0,0,0,75.32,2764.41,Credit card,1,1,4.2,2.4,0
87,53,Female,Palembang,45,Month-to-month,1,DSL,0,0,0,115.96,5286.02,Credit card,0,1,2.9,4.5,0
88,46,Female,Medan,2,Two year,0,Fiber optic,1,1,0,71.96,212.41,Bank transfer,1,2,1.3,2.9,0
89,35,Male,Semarang,61,Two year,1,Fiber optic,0,0,1,105.39,6467.31,Credit card,1,0,5.7,0.7,0
90,48,Female,Palembang,23,Month-to-month,0,No,0,0,0,47.6,1106.13,Electronic check,1,3,0.6,2.1,1
91,43,Male,Jakarta,48,Month-to-month,1,DSL,0,1,0,52.14,2421.13,Electronic check,1,3,1.6,3.3,1
92,54,Male,Medan,27,Month-to-month,1,Fiber optic,0,0,0,34.69,962.36,Mailed check,1,1,0.7,2.8,1
93,32,Male,Semarang,5,Two year,1,DSL,0,0,0,139.23,662.05,Electronic check,1,1,5.5,1.1,0
94,37,Female,Makassar,22,Month-to-month,1,Fiber optic,0,0,0,40.3,907.4,Electronic check,1,0,5.2,3.9,0
95,36,Male,Makassar,2,One year,1,No,1,1,0,66.16,0.0,Credit card,1,3,,2.4,0
96,22,Female,Makassar,28,One year,1,DSL,0,1,0,83.44,2580.76,Bank transfer,1,0,0.3,3.4,0
97,45,Female,Palembang,12,Month-to-month,1,DSL,0,1,0,51.61,714.44,Bank transfer,0,1,3.7,5.4,0
98,45,Female,Bandung,3,One year,1,DSL,0,0,1,129.2,388.6,Mailed check,1,2,4.4,0.9,0
99,42,Female,Jakarta,72,One year,1,No,0,1,0,71.74,5205.95,Electronic check,0,1,14.5,1.4,0
100,38,Female,Jakarta,55,Month-to-month,1,DSL,0,0,1,66.8,3737.11,Electronic check,0,0,0.5,4.1,1
101,23,Male,Bandung,53,Month-to-month,1,DSL,1,1,1,101.85,5447.88,Mailed check,1,3,0.4,2.5,1
102,36,Male,Surabaya,37,Two year,0,Fiber optic,0,0,0,161.27,6032.42,Bank transfer,1,1,2.3,0.3,0
103,37,Female,Surabaya,28,Month-to-month,1,DSL,0,0,0,69.16,1965.6,Bank transfer,1,0,0.8,2.2,1
104,31,Female,Surabaya,25,One year,1,DSL,0,1,0,62.45,1538.22,Mailed check,0,3,0.3,1.9,0
105,39,Male,Makassar,2,Month-to-month,1,DSL,0,0,0,114.98,97.57,Electronic check,1,1,,0.2,1
106,47,Male,Surabaya,55,Month-to-month,1,Fiber optic,0,0,0,122.11,6685.15,Bank transfer,1,2,1.3,2.4,1
107,66,Male,Makassar,51,Two year,1,Fiber optic,0,0,0,28.02,1461.38,Mailed check,1,3,1.2,0.8,0
108,44,Male,Makassar,33,Month-to-month,0,Fiber optic,1,1,1,66.57,2298.64,Electronic check,0,0,10.2,6.7,1
109,45,Male,Surabaya,62,Month-to-month,1,DSL,0,1,0,52.21,3285.02,Bank transfer,0,4,1.8,4.0,1
110,41,Female,Surabaya,19,One year,1,Fiber optic,0,1,1,37.32,679.97,Bank transfer,0,1,4.6,,0
111,18,Female,Semarang,14,One year,1,Fiber optic,1,0,0,30.49,434.68,Credit card,0,2,0.3,1.4,0
112,41,Male,Medan,72,Month-to-month,0,DSL,0,1,1,74.55,5261.64,Mailed check,0,2,0.0,2.5,0
113,42,Female,Jakarta,14,Two year,1,Fiber optic,0,0,0,39.13,599.66,Electronic check,0,4,0.2,0.8,1
114,74,Female,Jakarta,24,Month-to-month,1,Fiber optic,0,0,1,137.62,3262.68,Credit card,0,2,5.2,2.3,1
115,39,Male,Jakarta,11,One year,1,No,0,0,0,173.79,1793.18,Mailed check,0,0,0.1,3.1,1
116,45,Male,Jakarta,24,Month-to-month,1,Fiber optic,0,1,1,97.59,2314.5,Credit card,1,4,14.7,3.8,1
117,41,Female,Jakarta,30,Month-to-month,1,No,0,0,0,99.1,2991.74,Mailed check,1,1,1.3,3.2,1
118,26,Female,Jakarta,23,Two year,1,No,0,1,1,87.48,2111.98,Mailed check,1,1,1.9,6.2,0
119,56,Male,Medan,17,One year,1,No,1,1,0,45.11,763.43,Electronic check,0,2,5.0,4.2,0
120,51,Female,Palembang,8,One year,1,Fiber optic,0,0,0,77.45,423.35,Electronic check,0,4,10.4,3.0,1
121,52,Male,Medan,24,Month-to-month,0,DSL,1,1,0,33.99,797.45,Electronic check,1,0,1.5,1.6,0
122,30,Male,Palembang,57,Two year,1,DSL,0,0,1,133.01,7561.06,Bank transfer,1,3,2.7,0.7,0
123,60,Male,Semarang,0,Month-to-month,0,Fiber optic,0,0,1,86.56,0.0,Mailed check,0,3,3.0,1.4,1
124,23,Male,Semarang,3,Month-to-month,1,Fiber optic,0,0,0,96.39,206.15,Credit card,0,0,0.8,3.1,1
125,49,Female,Surabaya,3,Two year,0,DSL,1,0,0,147.12,548.76,Mailed check,0,1,3.3,5.9,1
126,70,Female,Jakarta,61,Month-to-month,1,Fiber optic,1,0,0,89.54,5497.96,Electronic check,1,3,10.0,2.4,1
127,29,Male,Makassar,26,Month-to-month,1,No,0,0,0,117.46,3161.11,Electronic check,1,2,0.9,2.5,1
128,34,Female,Makassar,72,Two year,1,Fiber optic,1,0,1,134.67,9775.45,Credit card,1,0,1.7,3.2,0
129,43,Female,Surabaya,20,Two year,1,Fiber optic,1,0,0,87.94,1751.51,Credit card,1,3,6.4,2.8,0
130,35,Male,Jakarta,14,One year,1,Fiber optic,1,0,0,69.03,1003.12,Electronic check,1,0,3.8,5.2,1
131,21,Female,Semarang,37,Month-to-month,1,DSL,0,0,0,64.41,2373.3,Credit card,1,0,2.6,0.6,1
132,42,Male,Jakarta,4,Month-to-month,1,DSL,0,0,0,79.37,268.26,Mailed check,0,6,0.5,0.5,1
133,28,Female,Jakarta,11,Month-to-month,1,No,0,1,0,115.4,1127.0,Mailed check,1,1,5.3,0.3,1
134,48,Male,Semarang,15,Month-to-month,1,No,1,0,0,198.47,2934.32,Electronic check,1,0,8.9,1.6,1
135,30,Female,Bandung,8,Month-to-month,1,No,0,0,0,20.35,284.41,Bank transfer,0,1,1.4,1.4,1
136,62,Male,Medan,11,Month-to-month,1,Fiber optic,1,0,1,55.15,455.38,Credit card,0,1,2.7,1.2,1
137,31,Female,Makassar,1,Month-to-month,1,DSL,0,0,1,74.68,107.16,Bank transfer,1,1,0.4,0.5,1
138,37,Female,Bandung,5,Month-to-month,1,No,0,1,0,76.59,254.28,Electronic check,1,1,7.0,4.9,0
139,52,Male,Bandung,9,One year,1,No,0,1,0,164.04,1407.04,Bank transfer,1,3,0.3,3.3,1
140,25,Male,Jakarta,38,Month-to-month,1,No,0,0,1,61.7,2381.7,Bank transfer,1,2,1.6,3.3,1
141,44,Male,Jakarta,4,Two year,1,DSL,1,1,0,52.72,203.47,Bank transfer,1,2,2.3,0.9,1
142,58,Female,Semarang,10,Month-to-month,0,Fiber optic,0,0,0,77.75,834.21,Electronic check,0,1,0.4,0.1,1
143,21,Male,Surabaya,1,Month-to-month,1,Fiber optic,0,0,1,47.56,5.34,Mailed check,0,4,,2.2,1
144,44,Female,Jakarta,19,One year,1,Fiber optic,0,0,0,47.24,898.43,Electronic check,1,4,5.3,5.2,0
145,45,Male,Jakarta,22,Month-to-month,0,Fiber optic,1,0,1,44.28,945.1,Electronic check,1,2,0.6,2.6,1
146,52,Male,Surabaya,48,Month-to-month,1,Fiber optic,0,1,1,64.96,3096.58,Bank transfer,1,4,0.2,7.7,1
147,25,Male,Surabaya,41,One year,1,Fiber optic,0,0,0,86.36,3640.4,Mailed check,1,1,2.7,2.0,0
148,24,Male,Medan,8,Month-to-month,1,DSL,0,0,0,108.65,935.85,Electronic check,0,0,8.8,4.4,1
149,48,Female,Surabaya,3,Two year,1,Fiber optic,0,0,0,67.04,66.45,Electronic check,1,2,1.2,3.4,0
150,45,Female,Jakarta,4,One year,1,Fiber optic,0,1,1,157.01,681.74,Bank transfer,1,2,5.8,1.8,0
151,45,Male,Bandung,72,Month-to-month,1,DSL,1,1,1,85.99,6292.25,Electronic check,1,4,1.1,1.6,0
152,46,Male,Makassar,26,Month-to-month,1,No,0,1,0,41.71,1029.62,Credit card,1,2,4.3,1.2,1
153,33,Male,Jakarta,1,One year,1,No,0,0,0,102.23,66.02,Bank transfer,1,3,2.7,4.4,1
154,45,Female,Medan,3,One year,1,No,1,1,0,62.48,118.0,Mailed check,0,3,1.0,3.8,0
155,45,Male,Bandung,15,Two year,1,DSL,0,0,0,120.14,1758.05,Electronic check,1,2,12.3,1.1,1
156,32,Female,Semarang,5,One year,1,DSL,0,0,0,87.85,427.27,Electronic check,0,0,6.0,5.0,0
157,66,Female,Jakarta,39,Month-to-month,0,DSL,0,0,0,66.82,2647.61,Bank transfer,1,1,0.6,3.0,1
158,48,Male,Palembang,20,Month-to-month,1,Fiber optic,0,1,0,56.87,1144.89,Mailed check,0,3,2.2,0.8,0
159,26,Female,Medan,22,One year,1,DSL,0,0,0,47.33,1087.11,Credit card,0,2,,2.9,0
160,50,Male,Makassar,14,Month-to-month,1,DSL,0,0,0,132.82,1917.16,Electronic check,1,1,7.6,2.2,1
161,29,Male,Jakarta,7,One year,1,DSL,1,1,1,109.53,793.52,Electronic check,1,2,1.6,2.3,1
162,52,Male,Semarang,21,One year,1,Fiber optic,0,0,1,115.51,2610.56,Mailed check,1,3,2.6,3.2,1
163,57,Male,Semarang,30,One year,1,Fiber optic,0,0,0,72.98,2139.09,Bank transfer,0,3,2.9,4.8,0
164,31,Male,Surabaya,11,Month-to-month,1,Fiber optic,0,0,0,35.57,548.38,Credit card,0,1,2.6,1.5,1
165,54,Male,Surabaya,16,One year,1,DSL,0,1,1,27.01,297.58,Credit card,1,0,3.5,0.9,0
166,47,Male,Medan,43,Month-to-month,1,No,0,1,0,88.4,3762.88,Electronic check,0,0,0.0,1.7,1
167,52,Male,Jakarta,3,One year,1,Fiber optic,1,1,0,36.01,109.8,Credit card,1,2,2.3,2.8,0
168,66,Female,Semarang,18,One year,1,DSL,0,1,0,124.64,2207.7,Electronic check,0,1,2.6,3.3,0
169,38,Female,Jakarta,10,Month-to-month,1,DSL,1,0,1,192.24,2013.75,Credit card,1,1,3.7,1.9,1
170,32,Male,Jakarta,29,Month-to-month,1,DSL,0,0,0,68.9,1797.07,Electronic check,1,1,3.0,0.4,1
171,30,Male,Medan,0,One year,1,DSL,0,0,0,110.59,0.0,Electronic check,0,0,0.6,0.9,0
172,31,Male,Jakarta,26,Month-to-month,1,Fiber optic,0,0,0,59.85,1478.59,Credit card,1,2,1.4,4.9,1
173,40,Female,Palembang,2,Month-to-month,1,No,0,1,0,94.42,0.0,Electronic check,0,1,1.6,,1
174,46,Female,Makassar,1,Two year,1,DSL,1,0,0,121.84,0.0,Credit card,1,2,3.3,1.2,1
175,45,Male,Medan,30,One year,1,Fiber optic,0,1,0,83.57,2653.88,Credit card,1,2,3.3,2.9,0
176,52,Male,Semarang,24,One year,0,No,0,0,0,36.68,828.1,Electronic check,1,1,3.8,6.0,0
177,42,Male,Makassar,54,Month-to-month,1,Fiber optic,1,0,1,101.68,5353.05,Mailed check,1,4,2.9,2.7,1
178,60,Male,Jakarta,17,Two year,1,DSL,0,0,1,33.24,635.11,Electronic check,1,1,1.5,3.4,0
179,38,Female,Makassar,18,One year,1,Fiber optic,0,0,1,43.62,601.91,Electronic check,1,2,0.9,3.6,0
180,77,Female,Jakarta,29,Month-to-month,1,No,0,1,1,207.57,6114.04,Mailed check,1,3,0.6,2.5,1
181,50,Male,Surabaya,9,One year,1,DSL,0,1,0,116.4,1146.25,Credit card,1,2,1.3,3.1,0
182,30,Male,Bandung,0,Month-to-month,1,Fiber optic,1,0,0,74.46,0.0,Bank transfer,1,3,1.3,2.9,1
183,28,Male,Medan,6,Month-to-month,1,Fiber optic,1,1,0,195.36,1194.83,Bank transfer,1,1,3.2,1.7,1
184,48,Male,Jakarta,6,Month-to-month,1,Fiber optic,1,1,0,56.74,576.28,Credit card,0,1,,1.7,1
185,39,Female,Jakarta,9,Month-to-month,1,Fiber optic,0,1,1,115.0,1041.27,Bank transfer,1,3,,3.9,1
186,51,Female,Bandung,68,One year,1,Fiber optic,0,0,1,128.74,8977.66,Credit card,1,1,11.0,5.2,0
187,48,Male,Surabaya,39,Month-to-month,1,Fiber optic,1,0,0,21.66,869.32,Mailed check,0,2,0.1,1.2,1
188,41,Male,Semarang,65,One year,1,Fiber optic,1,0,0,71.97,4687.9,Electronic check,0,0,8.4,3.5,0
189,30,Female,Medan,72,Month-to-month,0,Fiber optic,0,0,0,51.18,3451.27,Mailed check,0,1,1.6,4.6,1
190,22,Female,Jakarta,13,Month-to-month,0,Fiber optic,0,0,1,23.98,281.01,Mailed check,0,1,2.5,2.1,1
191,36,Male,Jakarta,6,Month-to-month,1,DSL,0,1,0,185.07,1111.88,Bank transfer,1,1,4.8,1.4,1
192,53,Male,Medan,19,Month-to-month,1,No,1,0,1,79.95,1692.22,Electronic check,1,0,6.9,2.6,1
193,44,Male,Surabaya,51,Month-to-month,1,DSL,0,0,0,27.85,1488.39,Mailed check,0,2,25.5,3.8,1
194,25,Female,Jakarta,15,Month-to-month,1,DSL,0,1,1,86.05,1367.06,Mailed check,0,1,3.1,0.3,1
195,44,Female,Jakarta,16,One year,1,DSL,0,0,0,117.56,1860.58,Mailed check,1,0,3.0,,0
196,47,Male,Jakarta,3,One year,1,No,0,1,1,35.86,212.92,Electronic check,0,2,0.6,1.6,1
197,30,Female,Jakarta,13,One year,1,Fiber optic,0,0,0,70.7,1064.99,Bank transfer,1,0,2.1,0.2,0
198,43,Female,Bandung,11,One year,1,Fiber optic,0,1,0,106.44,1118.08,Bank transfer,1,1,4.0,1.8,0
199,42,Male,Semarang,10,Two year,1,No,1,0,0,63.21,628.14,Electronic check,1,4,,2.0,0
200,27,Male,Bandung,52,Month-to-month,1,No,0,1,1,122.28,6336.85,Electronic check,0,0,0.1,4.2,1
201,46,Female,Makassar,1,Two year,1,Fiber optic,1,0,1,43.13,0.0,Electronic check,1,1,5.1,4.6,1
202,49,Female,Jakarta,72,Month-to-month,1,Fiber optic,0,0,0,76.46,5390.76,Electronic check,1,2,5.1,2.2,1
203,56,Female,Surabaya,0,One year,1,No,1,0,0,31.81,129.22,Electronic check,1,5,1.7,1.9,1
204,55,Female,Bandung,69,One year,1,DSL,1,1,1,171.27,11873.4,Mailed check,0,2,1.5,0.2,0
205,24,Male,Medan,19,One year,1,Fiber optic,0,0,0,45.57,854.97,Electronic check,0,0,9.0,4.2,0
206,29,Male,Medan,29,Two year,1,Fiber optic,1,1,0,58.68,1566.86,Bank transfer,1,1,1.4,0.7,0
207,48,Female,Semarang,4,Month-to-month,1,Fiber optic,0,1,0,144.85,673.72,Credit card,0,0,0.2,1.3,1
208,48,Male,Medan,25,Month-to-month,1,DSL,0,1,1,167.94,4242.78,Mailed check,1,1,6.1,3.4,1
209,48,Female,Jakarta,51,Month-to-month,1,DSL,0,1,1,91.17,4633.84,Mailed check,1,2,6.7,3.6,1
210,80,Female,Medan,3,Month-to-month,1,No,1,0,0,82.47,44.34,Bank transfer,0,6,2.3,1.4,1
211,49,Female,Semarang,3,One year,0,DSL,0,1,1,124.24,197.5,Electronic check,1,2,7.1,3.6,0
212,56,Male,Palembang,8,Month-to-month,1,No,0,1,0,90.75,633.42,Credit card,1,3,3.1,5.5,1
213,54,Female,Medan,4,Two year,0,DSL,0,0,1,51.09,88.07,Mailed check,1,3,0.4,3.7,1
214,50,Female,Medan,2,One year,1,Fiber optic,1,1,1,57.99,186.48,Electronic check,1,3,0.6,2.4,0
215,37,Female,Bandung,27,Month-to-month,1,Fiber optic,0,0,1,219.7,5990.12,Mailed check,0,1,1.9,2.4,1
216,51,Male,Makassar,5,Month-to-month,1,Fiber optic,0,1,0,39.49,313.23,Bank transfer,0,0,2.0,3.5,0
217,31,Male,Palembang,26,Month-to-month,1,DSL,0,1,1,87.01,2161.89,Electronic check,0,1,2.1,1.2,0
218,38,Male,Semarang,47,Two year,0,DSL,0,1,0,58.66,2723.25,Mailed check,1,0,9.0,0.6,0
219,35,Male,Bandung,25,One year,1,Fiber optic,0,0,1,42.39,1068.27,Electronic check,1,4,2.1,3.4,0
220,43,Male,Jakarta,3,Month-to-month,1,Fiber optic,1,0,0,142.34,462.03,Mailed check,1,3,3.3,3.8,1
221,72,Female,Semarang,20,Month-to-month,1,Fiber optic,1,0,1,53.38,1163.98,Mailed check,0,5,5.6,5.1,1
222,18,Female,Medan,12,Month-to-month,1,DSL,0,0,1,78.85,1087.8,Credit card,1,1,5.2,3.6,1
223,50,Female,Semarang,10,Month-to-month,1,DSL,0,0,0,31.16,526.98,Credit card,1,2,3.5,2.4,1
224,21,Male,Jakarta,9,One year,1,Fiber optic,0,1,1,32.12,228.07,Electronic check,0,0,9.4,2.9,0
225,35,Male,Medan,63,One year,1,DSL,0,1,1,78.68,4980.97,Bank transfer,0,1,1.1,1.9,0
