applicant_id,age,annual_income,employment_years,credit_history_years,num_credit_accounts,debt_to_income_ratio,credit_utilization,late_payments_12m,max_delinquency_days,recent_inquiries,bankruptcy_history,credit_score,risk_category
35,38,126670.46,12.0,0.3,8,0.608,0.217,0,30,1,0,582,Very Poor
36,56,20895.7,3.4,6.4,5,0.406,0.355,1,0,1,0,554,Very Poor
37,24,26813.37,0.7,2.3,8,0.194,0.245,0,0,1,0,502,Risky
38,32,114604.89,0.6,4.5,9,0.158,0.35,1,0,4,1,511,Risky
39,49,114963.46,1.0,8.4,6,0.399,0.279,0,0,0,0,675,Fair
40,40,143887.21,5.3,3.8,6,0.315,0.201,1,0,0,0,606,Poor
41,43,27089.81,0.2,5.2,5,0.322,0.449,0,0,0,0,531,Risky
42,30,23847.54,3.8,8.3,9,0.555,0.362,0,0,3,0,547,Risky
43,46,112516.26,2.2,15.6,8,0.509,0.217,1,0,2,0,706,Good
44,40,178960.66,1.8,6.8,3,0.119,0.108,0,90,2,0,630,Poor
45,56,195918.03,3.0,7.9,11,0.073,0.298,3,120,2,0,535,Risky
46,37,142023.51,4.5,8.8,7,0.524,0.328,0,0,2,0,570,Very Poor
47,45,70412.14,2.5,4.3,5,0.116,0.567,1,0,1,0,575,Very Poor
48,35,41911.1,6.9,0.3,15,0.126,0.115,0,30,1,0,570,Very Poor
49,35,66906.57,5.8,2.5,10,0.221,0.169,0,0,0,0,618,Poor
50,48,39182.68,4.5,12.8,4,0.18,0.223,2,0,1,0,614,Poor
51,46,13421.63,0.9,8.5,10,0.049,0.489,0,30,3,0,545,Risky
52,47,28207.69,1.6,2.0,7,0.32,0.288,1,0,4,0,483,Risky
53,29,30895.33,1.9,5.5,4,0.217,0.241,0,0,1,0,592,Very Poor
54,39,43328.77,10.1,5.0,11,0.18,0.288,0,0,0,0,659,Fair
55,43,33679.16,1.1,17.8,6,0.227,0.031,0,30,1,0,619,Poor
56,41,38568.73,4.2,9.9,11,0.605,0.16,0,0,1,0,651,Fair
57,37,74587.97,4.5,2.9,8,0.551,0.101,0,0,1,0,543,Risky
58,25,53563.58,4.3,4.3,9,0.159,0.05,0,30,1,1,439,Risky
59,36,25248.62,2.0,18.1,5,0.066,0.35,3,0,2,0,572,Very Poor
60,50,8683.49,7.7,1.1,4,0.344,0.256,1,0,0,0,424,Risky
61,39,88439.12,7.3,9.2,9,0.369,0.282,0,0,1,0,629,Poor
62,26,11114.83,2.8,8.8,9,0.265,0.098,0,0,0,0,557,Very Poor
63,26,12657.09,1.0,7.8,8,0.059,0.169,3,0,0,0,446,Risky
64,48,42003.9,2.9,0.5,9,0.306,0.414,0,60,0,0,556,Very Poor
65,32,62173.64,2.5,1.8,6,0.267,0.177,2,60,2,0,526,Risky
66,44,62248.43,21.2,24.9,6,0.226,0.185,1,90,0,0,652,Fair
67,34,38183.51,15.2,4.6,9,0.49,0.248,0,0,2,0,548,Risky
68,38,12665.68,0.9,2.9,8,0.613,0.474,0,90,1,0,471,Risky
69,43,45683.28,0.5,3.4,9,0.083,0.095,0,0,1,0,653,Fair
70,44,214931.57,2.3,3.2,6,0.652,0.406,0,0,1,0,652,Fair
71,44,91344.89,2.8,1.3,4,0.553,0.244,0,0,0,0,618,Poor
72,36,82403.13,5.1,3.1,9,0.264,0.504,0,0,1,0,684,Fair
73,39,19209.44,6.1,0.0,12,0.099,0.297,1,0,0,0,501,Risky
74,45,57883.2,12.2,5.2,7,0.2,0.197,1,0,3,0,558,Very Poor
75,21,75442.57,5.9,10.2,3,0.613,0.449,0,0,3,0,556,Very Poor
76,42,153697.81,7.9,2.0,8,0.576,0.523,2,0,0,0,538,Risky
77,50,72505.62,0.8,4.5,6,0.593,0.2,0,0,0,0,593,Very Poor
78,33,50514.52,11.2,0.4,9,0.508,0.261,0,0,0,0,603,Poor
79,21,45364.32,0.5,3.4,12,0.676,0.336,2,0,0,0,563,Very Poor
80,48,29370.35,1.9,3.9,4,0.396,0.317,1,0,2,0,535,Risky
81,61,42013.17,11.7,7.2,10,0.265,0.376,0,90,2,0,504,Risky
82,44,22127.39,6.1,2.9,7,0.445,0.278,2,0,1,0,471,Risky
83,21,45879.56,2.6,8.3,9,0.247,0.294,0,0,0,0,578,Very Poor
84,44,40916.08,20.5,8.9,3,0.216,0.395,0,0,0,0,621,Poor
85,45,49261.66,7.6,11.7,3,0.305,0.365,2,60,1,0,571,Very Poor
86,48,60557.54,4.8,6.2,6,0.549,0.232,0,0,0,0,614,Poor
87,38,150280.39,5.3,3.4,7,0.133,0.637,1,90,2,0,551,Very Poor
88,35,29503.0,0.6,15.5,6,0.05,0.592,3,60,0,0,528,Risky
89,47,35037.6,3.2,10.0,8,0.253,0.096,1,60,1,0,540,Risky
90,57,81969.1,5.3,1.4,9,0.383,0.3,1,0,0,0,587,Very Poor
91,51,48160.32,0.1,6.7,13,0.236,0.294,2,0,1,0,567,Very Poor
92,34,35381.6,11.9,8.8,9,0.116,0.166,0,0,0,0,627,Poor
93,45,68554.0,1.4,6.2,7,0.525,0.254,3,0,1,0,520,Risky
94,38,55784.84,6.2,11.6,9,0.226,0.07,1,0,1,0,650,Poor
95,32,35266.9,3.8,6.5,11,0.456,0.259,0,0,1,0,555,Very Poor
96,47,121609.02,5.9,28.1,9,0.323,0.058,1,0,0,0,784,Excellent
97,41,44719.35,2.2,10.7,11,0.404,0.184,4,60,1,0,488,Risky
98,33,92677.91,3.3,1.9,6,0.212,0.51,1,120,0,0,571,Very Poor
99,22,59481.26,13.1,7.1,8,0.276,0.336,0,0,2,0,608,Poor
100,28,97265.63,11.3,5.3,9,0.145,0.33,2,0,0,0,610,Poor
101,44,123309.51,1.9,0.3,9,0.145,0.225,0,120,3,0,527,Risky
102,52,237636.86,0.2,2.2,6,0.117,0.623,1,0,1,1,514,Risky
103,21,25779.34,15.0,3.3,5,0.237,0.111,1,30,0,0,534,Risky
104,21,13764.68,6.0,19.8,4,0.257,0.178,1,0,1,0,569,Very Poor
105,47,64947.13,29.0,31.7,12,0.513,0.475,0,0,0,1,664,Fair
106,65,67526.48,1.4,0.3,9,0.074,0.143,1,30,1,0,552,Very Poor
107,49,227264.64,2.4,13.1,7,0.358,0.445,0,0,0,0,703,Good
108,50,48086.81,2.4,2.2,9,0.3,0.395,0,0,2,0,600,Very Poor
109,36,95353.27,4.8,14.0,7,0.278,0.295,2,0,1,0,657,Fair
110,28,71456.0,8.9,2.6,7,0.365,0.381,0,30,3,0,502,Risky
111,40,25491.4,0.4,8.8,8,0.205,0.125,1,0,1,0,544,Risky
112,34,39761.21,0.0,11.1,6,0.297,0.311,0,0,2,0,554,Very Poor
113,55,34630.93,8.1,7.9,5,0.246,0.196,1,0,0,0,557,Very Poor
114,31,48228.99,1.1,34.9,8,0.248,0.299,1,0,0,0,676,Fair
115,39,136936.68,0.8,7.9,5,0.701,0.266,0,0,2,1,492,Risky
116,42,44082.35,1.9,15.6,13,0.469,0.105,0,0,0,0,638,Poor
117,52,159695.74,2.7,3.4,5,0.412,0.589,1,0,1,0,644,Poor
118,32,33084.8,0.9,10.7,6,0.144,0.297,0,0,4,1,474,Risky
119,40,48835.37,9.4,7.2,10,0.116,0.204,0,0,2,0,632,Poor
120,58,19568.01,3.3,2.0,12,0.063,0.143,1,0,2,0,488,Risky
121,37,19987.12,6.1,19.0,9,0.1,0.149,1,0,0,0,607,Poor
122,38,12354.6,4.5,3.9,8,0.313,0.058,1,0,1,0,489,Risky
123,29,13849.03,1.2,1.7,7,0.164,0.114,0,30,1,0,546,Risky
124,30,117029.57,14.2,9.1,4,0.265,0.126,1,0,0,0,643,Poor
125,36,184500.89,1.8,4.3,9,0.202,0.366,1,0,1,0,624,Poor
126,25,40870.15,6.0,1.9,6,0.093,0.34,0,30,2,0,575,Very Poor
127,37,38705.93,3.0,4.9,7,0.278,0.159,0,0,2,0,569,Very Poor
128,38,118010.27,3.8,0.6,5,0.194,0.46,1,0,1,0,586,Very Poor
129,33,178350.1,1.5,4.0,9,0.219,0.629,0,0,1,0,696,Fair
130,39,19480.55,3.9,1.3,8,0.369,0.392,2,0,0,0,535,Risky
131,39,28674.28,8.8,16.1,7,0.273,0.301,0,0,3,0,550,Risky
132,28,36621.87,13.2,5.0,8,0.456,0.167,2,0,4,0,520,Risky
133,41,130285.37,0.3,1.9,11,0.272,0.082,0,0,0,1,530,Risky
134,45,65930.3,6.6,11.9,13,0.295,0.171,0,30,0,0,603,Poor
135,44,71265.29,5.3,15.2,12,0.694,0.464,1,0,1,1,509,Risky
136,53,56171.15,6.3,1.2,7,0.147,0.478,2,0,1,0,537,Risky
137,32,43238.82,2.8,2.4,7,0.094,0.083,1,120,1,0,511,Risky
138,36,29133.78,3.5,3.1,10,0.436,0.236,0,30,2,0,538,Risky
139,42,17824.59,2.3,1.3,11,0.127,0.278,1,0,1,0,508,Risky
140,42,42527.14,6.1,11.3,2,0.273,0.583,1,0,1,0,555,Very Poor
141,37,14594.83,4.6,1.9,10,0.195,0.288,2,60,0,0,448,Risky
142,46,41908.66,2.1,13.8,11,0.168,0.374,0,0,0,1,521,Risky
143,70,245517.16,0.9,8.5,10,0.514,0.473,0,60,2,0,648,Poor
144,54,84029.5,4.7,4.7,12,0.029,0.05,3,0,0,0,531,Risky
145,40,29981.13,2.3,18.0,6,0.051,0.11,0,0,1,0,662,Fair
146,52,14389.63,2.4,3.3,9,0.414,0.442,0,0,1,0,500,Risky
147,55,11119.69,4.2,2.9,8,0.458,0.407,1,0,2,0,438,Risky
148,47,39025.47,2.8,16.4,11,0.166,0.421,1,0,1,0,574,Very Poor
149,40,233911.15,1.1,6.2,16,0.161,0.284,2,0,2,0,665,Fair
150,41,30455.42,16.0,0.7,10,0.5,0.122,2,0,0,0,545,Risky
151,43,57107.94,0.5,7.8,6,0.327,0.469,0,120,2,0,586,Very Poor
152,35,17318.22,2.5,0.2,4,0.123,0.151,1,0,0,0,510,Risky
153,62,56817.14,6.4,4.2,5,0.04,0.425,1,0,2,0,596,Very Poor
154,47,24221.15,7.1,2.7,10,0.263,0.543,0,0,3,0,495,Risky
155,40,18834.56,6.5,13.6,8,0.341,0.305,1,60,2,0,524,Risky
156,58,16652.8,5.7,21.0,6,0.227,0.331,0,30,2,0,660,Fair
157,40,55210.55,7.8,10.1,10,0.412,0.361,0,0,0,0,676,Fair
158,36,44652.87,9.2,9.4,5,0.331,0.135,0,0,2,0,575,Very Poor
159,42,31524.8,4.6,10.0,6,0.068,0.136,0,90,2,0,572,Very Poor
160,21,131247.61,0.2,20.7,10,0.421,0.332,2,0,0,0,670,Fair
161,34,25832.43,1.3,4.7,5,0.094,0.142,0,30,1,0,578,Very Poor
162,45,8727.84,4.9,21.4,3,0.178,0.266,1,0,0,0,530,Risky
163,44,19679.57,4.1,27.1,11,0.323,0.098,2,0,1,0,612,Poor
164,35,28459.13,1.3,4.4,8,0.293,0.092,1,0,1,0,522,Risky
165,21,122270.35,0.4,12.9,6,0.192,0.223,1,0,3,0,674,Fair
166,54,120067.89,0.3,1.7,3,0.199,0.257,1,0,0,0,610,Poor
167,24,75553.85,1.9,3.1,7,0.19,0.109,1,0,4,0,524,Risky
168,43,15645.92,5.6,12.3,6,0.447,0.154,2,0,4,0,455,Risky
169,51,75328.47,0.5,19.6,4,0.514,0.237,2,0,2,0,619,Poor
170,50,29116.25,0.9,15.8,3,0.224,0.192,0,60,0,0,601,Poor
171,37,31807.71,2.1,6.4,7,0.445,0.5,1,0,2,0,559,Very Poor
172,54,76700.12,5.1,12.5,6,0.188,0.25,1,30,2,0,549,Risky
173,45,52878.58,0.0,4.9,13,0.258,0.225,0,0,0,0,591,Very Poor
174,42,39028.53,3.0,4.1,9,0.028,0.452,0,0,0,0,613,Poor
175,61,55409.06,1.4,15.3,11,0.426,0.508,3,0,0,0,570,Very Poor
176,23,25785.84,7.3,2.6,6,0.044,0.547,2,0,2,0,537,Risky
177,42,32199.29,0.2,12.6,6,0.601,0.401,0,90,0,0,588,Very Poor
178,39,85221.71,6.2,7.2,6,0.391,0.127,0,30,0,1,586,Very Poor
179,25,28190.35,2.4,17.2,11,0.387,0.144,0,0,0,0,612,Poor
180,44,23898.13,0.2,0.9,12,0.215,0.324,2,30,0,0,495,Risky
181,49,42713.36,1.4,1.3,10,0.505,0.223,0,60,1,0,472,Risky
182,56,13099.85,0.6,0.2,8,0.142,0.11,4,0,1,0,463,Risky
183,63,60081.93,10.7,14.8,8,0.433,0.297,0,0,1,0,623,Poor
184,36,135438.14,12.3,14.3,12,0.231,0.071,1,0,1,0,719,Good
185,21,105779.29,11.8,1.3,10,0.706,0.194,1,60,0,0,574,Very Poor
186,42,81646.03,5.4,24.9,13,0.793,0.18,0,0,2,1,604,Poor
187,52,41775.04,1.5,3.5,11,0.288,0.141,0,0,1,0,531,Risky
188,33,17925.68,8.1,0.7,4,0.181,0.293,2,30,0,0,464,Risky
189,43,123075.24,1.6,22.6,8,0.241,0.462,2,0,1,0,701,Good
190,23,18529.02,2.6,1.6,6,0.347,0.334,0,0,2,0,522,Risky
191,33,213253.52,2.1,30.3,6,0.239,0.169,1,0,1,0,801,Excellent
192,38,42777.41,14.3,15.3,8,0.346,0.57,2,0,1,0,578,Very Poor
193,45,53421.77,1.2,2.8,11,0.103,0.445,0,0,1,0,606,Poor
194,29,111867.33,4.4,4.9,9,0.13,0.205,0,0,1,0,645,Poor
195,53,17393.03,1.3,0.9,5,0.164,0.341,4,30,1,0,415,Risky
196,64,206288.46,7.8,15.5,10,0.249,0.282,1,0,0,0,757,Excellent
197,22,31205.56,2.4,5.9,9,0.153,0.308,2,60,1,0,540,Risky
198,38,50198.61,10.2,8.1,9,0.145,0.138,0,120,3,0,589,Very Poor
199,21,209501.44,4.1,11.3,10,0.153,0.164,0,0,0,1,580,Very Poor
200,40,52702.32,0.1,1.0,6,0.194,0.153,2,30,1,0,570,Very Poor
201,27,16482.51,0.3,2.9,9,0.261,0.478,1,0,1,0,506,Risky
202,29,349090.86,6.3,5.8,11,0.212,0.199,0,0,2,0,690,Fair
203,44,136399.17,1.4,8.9,6,0.506,0.493,2,0,2,0,622,Poor
204,32,96161.07,29.0,17.5,13,0.322,0.459,3,0,0,0,660,Fair
205,49,39764.06,3.1,0.5,10,0.263,0.17,2,30,0,0,572,Very Poor
206,25,84745.89,2.0,3.6,4,0.396,0.217,0,0,0,0,570,Very Poor
207,27,20565.73,5.9,2.3,6,0.754,0.266,4,0,2,1,353,Risky
208,42,128846.07,3.0,3.3,3,0.54,0.047,0,0,0,0,618,Poor
209,66,68118.09,9.9,7.0,5,0.478,0.262,1,0,1,0,597,Very Poor
210,31,27122.34,3.2,35.6,12,0.215,0.317,1,0,0,0,739,Good
211,62,29620.18,0.6,0.6,4,0.207,0.016,0,0,0,0,594,Very Poor
212,24,29414.6,1.0,7.9,9,0.133,0.427,3,0,2,0,475,Risky
213,50,53283.31,0.3,2.0,11,0.442,0.179,1,0,1,0,548,Risky
214,48,43097.56,2.2,3.7,8,0.433,0.109,1,0,1,0,506,Risky
215,57,26771.77,1.4,19.2,15,0.283,0.442,1,30,1,0,566,Very Poor
216,41,70132.89,7.6,7.0,11,0.101,0.175,3,0,2,0,590,Very Poor
217,21,48940.6,1.1,21.7,7,0.551,0.225,1,0,2,0,668,Fair
218,39,34750.54,3.2,23.9,3,0.491,0.259,0,0,3,0,608,Poor
219,26,60153.42,5.3,6.5,10,0.373,0.494,1,0,2,0,553,Very Poor
220,54,21970.95,11.4,14.8,7,0.181,0.358,0,0,0,0,600,Very Poor
221,25,45714.94,9.3,7.3,4,0.173,0.268,1,0,0,0,611,Poor
222,22,29235.39,1.9,1.8,11,0.328,0.176,4,30,1,0,440,Risky
223,29,111471.3,5.3,2.9,12,0.246,0.283,4,0,1,0,559,Very Poor
224,39,51098.4,4.4,3.0,6,0.379,0.506,3,30,2,0,435,Risky
225,31,40958.81,3.8,1.4,8,0.214,0.781,0,0,1,0,511,Risky
226,21,125308.0,11.0,6.0,9,0.159,0.138,0,0,1,0,651,Fair
227,21,69739.14,0.0,1.0,10,0.12,0.308,2,0,0,0,597,Very Poor
228,23,18628.1,2.4,0.3,6,0.112,0.339,0,120,0,0,458,Risky
229,42,21029.92,17.5,1.1,9,0.338,0.14,2,30,2,0,435,Risky
230,27,13508.31,8.9,1.2,7,0.154,0.138,1,90,1,0,451,Risky
231,57,135932.66,4.6,1.7,13,0.329,0.497,0,60,0,0,593,Very Poor
232,44,50914.59,7.7,1.8,8,0.291,0.163,0,0,3,0,601,Poor
233,26,69364.28,10.9,3.3,7,0.309,0.707,1,0,1,0,551,Very Poor
234,29,43350.94,6.3,3.8,10,0.29,0.252,1,0,1,0,622,Poor
235,44,131881.19,1.2,10.3,8,0.293,0.376,1,0,1,0,704,Good
236,32,134172.15,0.0,16.4,9,0.36,0.239,2,0,1,0,652,Fair
237,35,137559.99,0.7,23.6,8,0.599,0.183,0,0,2,0,738,Good
238,42,59921.44,7.3,2.1,8,0.287,0.335,2,30,2,0,503,Risky
239,34,201410.21,5.0,14.7,5,0.434,0.202,2,0,0,0,690,Fair
240,49,20373.63,0.9,4.1,6,0.256,0.565,0,120,0,0,500,Risky
241,50,35077.42,0.7,13.7,11,0.278,0.315,0,0,0,1,543,Risky
242,41,75448.56,3.7,0.6,9,0.304,0.445,0,0,1,0,591,Very Poor
243,27,68743.32,7.1,25.2,7,0.489,0.201,3,30,1,0,688,Fair
244,23,19440.64,10.7,19.4,8,0.214,0.362,0,0,1,0,565,Very Poor
245,35,76040.35,1.1,0.2,16,0.521,0.206,1,0,2,0,506,Risky
246,44,42942.95,0.4,14.7,6,0.196,0.207,0,0,0,0,648,Poor
247,33,46557.25,10.2,15.8,7,0.39,0.137,1,0,1,0,617,Poor
248,50,29560.31,0.2,16.9,14,0.314,0.323,0,0,0,1,539,Risky
249,48,23699.84,1.4,4.1,7,0.184,0.319,1,0,1,0,503,Risky
250,46,44809.88,1.7,2.3,9,0.242,0.209,2,30,1,0,500,Risky
251,27,22376.13,16.7,2.0,7,0.278,0.294,1,0,1,1,437,Risky
252,47,141336.63,9.9,8.7,12,0.203,0.436,2,30,1,0,645,Poor
253,21,32646.73,8.0,7.1,6,0.195,0.14,1,30,1,0,517,Risky
254,38,57824.43,8.9,9.0,7,0.078,0.11,1,0,3,0,625,Poor
255,64,46672.49,2.3,8.4,11,0.58,0.341,1,90,1,0,518,Risky
256,44,28998.83,1.8,2.4,11,0.416,0.286,0,0,0,0,535,Risky
257,21,51623.19,9.8,9.2,6,0.451,0.287,0,0,0,0,650,Poor
258,34,15913.22,12.3,13.8,5,0.337,0.095,1,0,1,0,536,Risky
259,39,244783.53,2.6,27.2,8,0.144,0.194,1,0,3,0,732,Good
260,21,48239.37,0.2,2.9,15,0.007,0.273,2,90,2,0,479,Risky
261,21,50844.03,4.4,2.8,13,0.321,0.186,2,0,0,0,579,Very Poor
262,50,22895.92,3.4,4.6,9,0.15,0.309,2,0,2,0,516,Risky
263,41,32551.88,6.0,10.2,9,0.144,0.297,0,30,0,0,616,Poor
264,24,106270.84,0.5,0.5,9,0.375,0.231,0,0,1,0,648,Poor
265,65,125096.13,1.5,13.2,6,0.054,0.269,1,0,1,0,673,Fair
266,37,35269.59,4.1,16.8,9,0.216,0.121,2,0,2,0,640,Poor
267,38,36699.2,9.5,19.1,10,0.595,0.266,2,0,2,0,557,Very Poor
268,21,15464.11,14.7,3.5,7,0.384,0.346,1,0,0,0,523,Risky
269,43,88855.8,5.6,11.1,4,0.124,0.332,2,0,0,0,695,Fair
270,55,139952.24,0.7,11.6,7,0.044,0.081,0,30,1,0,618,Poor
271,30,60785.66,20.0,25.7,9,0.126,0.197,0,90,2,0,632,Poor
272,53,93202.29,17.8,1.6,4,0.116,0.275,4,0,1,0,479,Risky
273,35,86425.42,0.6,11.3,2,0.155,0.304,0,120,3,0,587,Very Poor
274,27,34128.47,5.9,8.2,7,0.224,0.237,1,60,0,0,596,Very Poor
275,48,168808.21,3.1,6.3,7,0.403,0.195,2,0,2,0,596,Very Poor
276,55,43545.29,10.8,1.0,10,0.266,0.127,0,0,0,0,558,Very Poor
277,29,31569.43,3.3,0.6,12,0.34,0.05,0,0,1,1,466,Risky
278,37,26964.89,1.1,8.0,9,0.123,0.073,3,0,1,0,525,Risky
279,33,31792.12,2.6,0.4,6,0.264,0.309,0,0,1,0,570,Very Poor
280,37,161446.73,1.1,1.8,4,0.108,0.268,0,0,0,0,640,Poor
281,43,70061.96,8.6,0.3,11,0.145,0.087,1,60,1,0,526,Risky
282,26,22742.8,7.1,15.9,7,0.232,0.297,1,0,3,0,552,Very Poor
283,28,211541.87,0.9,3.5,6,0.235,0.208,2,0,2,0,552,Very Poor
284,47,132608.76,1.5,7.8,13,0.177,0.381,2,0,1,1,479,Risky
285,55,91303.95,1.2,3.2,8,0.436,0.056,0,0,1,0,657,Fair
286,58,21824.49,1.1,4.3,12,0.204,0.125,0,30,1,0,547,Risky
287,47,27373.99,7.3,16.9,6,0.315,0.28,2,30,3,0,559,Very Poor
288,32,63305.29,1.5,29.4,13,0.264,0.266,1,0,1,0,706,Good
289,50,222460.26,1.8,7.4,6,0.234,0.534,2,0,0,0,637,Poor
290,36,14234.4,7.0,6.5,6,0.437,0.195,2,0,0,0,510,Risky
291,24,284953.7,1.3,15.4,8,0.072,0.242,0,60,1,0,785,Excellent
292,21,22612.19,5.0,25.4,6,0.34,0.455,0,30,0,0,654,Fair
293,45,24594.47,2.3,0.2,6,0.324,0.26,0,30,2,0,550,Risky
294,43,22499.68,21.0,11.1,3,0.314,0.128,3,0,1,0,522,Risky
295,35,441973.24,7.1,6.8,7,0.251,0.257,0,0,2,0,666,Fair
296,36,85624.74,3.1,3.8,11,0.531,0.319,0,0,2,0,625,Poor
297,31,78814.81,3.8,18.8,13,0.582,0.228,1,30,1,0,679,Fair
298,29,24278.85,19.8,1.9,11,0.226,0.295,1,30,0,0,498,Risky
299,52,26545.66,5.3,2.9,4,0.135,0.303,0,0,2,0,605,Poor
300,38,215171.49,3.5,7.9,10,0.217,0.5,1,0,0,0,696,Fair
301,34,72228.47,0.7,26.2,5,0.208,0.33,0,30,0,0,683,Fair
302,44,34360.6,2.2,10.7,9,0.294,0.689,0,0,2,0,564,Very Poor
303,49,43573.48,0.7,0.7,9,0.053,0.302,1,0,0,0,592,Very Poor
304,60,23787.16,0.6,5.4,7,0.384,0.134,0,120,2,0,467,Risky
305,49,20528.03,11.0,17.9,10,0.112,0.254,0,0,3,0,609,Poor
306,47,113772.8,1.8,11.7,7,0.49,0.283,1,60,1,0,554,Very Poor
307,46,18318.77,5.4,20.4,11,0.201,0.269,0,0,1,0,649,Poor
308,22,121242.59,17.3,0.2,6,0.307,0.218,3,90,0,0,462,Risky
309,52,28251.14,8.7,3.3,4,0.524,0.224,1,30,2,0,584,Very Poor
310,68,23902.55,3.2,9.2,4,0.075,0.137,0,0,3,1,492,Risky
311,24,81784.51,10.2,3.4,6,0.26,0.072,2,0,0,0,533,Risky
312,21,46051.48,3.4,4.6,9,0.261,0.229,0,0,0,0,627,Poor
313,24,50183.78,9.2,2.7,7,0.312,0.366,3,0,0,0,539,Risky
314,52,55047.94,9.0,1.0,9,0.281,0.112,2,60,1,0,448,Risky
315,44,39224.13,14.9,13.9,9,0.337,0.505,1,0,1,0,576,Very Poor
316,39,99487.47,6.0,15.4,6,0.389,0.23,2,0,0,0,610,Poor
317,45,33937.85,0.5,6.0,7,0.193,0.251,1,0,1,0,580,Very Poor
318,43,45365.84,1.1,7.2,5,0.05,0.153,2,60,1,1,456,Risky
319,29,136058.67,7.1,7.7,9,0.189,0.38,1,0,3,0,582,Very Poor
320,59,20861.13,0.6,40.0,8,0.094,0.202,1,0,1,0,751,Excellent
321,54,15739.59,5.7,3.2,9,0.084,0.182,0,60,1,0,541,Risky
322,64,59431.36,15.3,5.7,8,0.245,0.085,0,0,3,0,590,Very Poor
323,49,13663.54,5.4,6.2,5,0.013,0.52,1,0,1,0,473,Risky
324,58,21215.47,1.5,7.8,4,0.382,0.275,2,0,2,0,520,Risky
325,52,68517.56,3.5,4.3,11,0.319,0.386,1,30,1,0,557,Very Poor
326,50,27349.87,8.5,1.5,8,0.216,0.256,0,0,1,0,546,Risky
327,64,24802.08,8.8,11.1,8,0.562,0.253,1,0,1,0,557,Very Poor
328,33,49489.25,1.4,2.0,12,0.088,0.276,0,0,1,1,446,Risky
329,52,46703.87,8.3,14.2,12,0.256,0.091,1,0,2,0,601,Poor
330,64,102994.77,3.0,2.0,8,0.307,0.385,2,0,0,0,543,Risky
331,38,42521.13,0.3,22.1,5,0.437,0.432,0,0,1,0,657,Fair
332,57,58254.2,0.5,1.7,6,0.076,0.525,1,0,1,0,568,Very Poor
